sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
MIEL DE ABEJA,AYMARAES,"ASOCIACION DE APICULTORES DEL DISTRITO DE COLCABAMBA, PROVINCIA DE AYMARAES",MIEL DE ABEJA DE UN KILO,698,APURIMAC,3950,13960,395,11037569,COLCABAMBA,,
MIEL DE ABEJA,AYMARAES,"ASOCIACION DE APICULTORES DEL DISTRITO DE COLCABAMBA, PROVINCIA DE AYMARAES",CERA,6,APURIMAC,0,108,0,11037569,COLCABAMBA,,
MIEL DE ABEJA,AYMARAES,"ASOCIACION DE APICULTORES DEL DISTRITO DE COLCABAMBA, PROVINCIA DE AYMARAES",PROPOLIO,10,APURIMAC,0,100,0,11037569,COLCABAMBA,,
TRUCHAS,AYMARAES,ASOCIACION DE PRODUCTORES DE TRUCHA HIJOS DE CANUA,TRUCHA FRESCA,60,APURIMAC,1200,780,100,11038204,TORAYA,,
TRUCHAS,AYMARAES,ASOCIACION DE PRODUCTORES DE TRUCHA HIJOS DE CANUA,TRUCHADA,40,APURIMAC,0,400,0,11038204,TORAYA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,HEMBRAS ADULTAS EN PIE PARA CAMAL,15,PUNO,32000,2550,200,11040793,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,TUIS MACHOS,165,PUNO,0,31350,0,11040793,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,FIBRA,0,PUNO,2925,0,450,11040793,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,CUERO,0,PUNO,756,0,42,11040793,ANTAUTA,,
PELETERIA,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,GORROS CHAVO,15,PUNO,600,525,20,11040793,ANTAUTA,,
PELETERIA,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,ALFOMBRAS,0,PUNO,400,0,10,11040793,ANTAUTA,,
PELETERIA,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,CHALINAS,42,PUNO,0,1260,0,11040793,ANTAUTA,,
PELETERIA,MELGAR,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR SANTA ISABEL ANTAUTA APASIA,PELUCHES LLAMA,10,PUNO,0,400,0,11040793,ANTAUTA,,
OREGANO,TARATA,ASOCIACION DE AGRICULTORES MULTIPLES VIRGEN LURDES TARATA,OREGANO PRIMERA,640,TACNA,0,5760,0,11044889,TARUCACHI,,
OREGANO,TARATA,ASOCIACION DE AGRICULTORES MULTIPLES VIRGEN LURDES TARATA,OREGANO SEGUNDA,2560,TACNA,0,14080,0,11044889,TARUCACHI,,
OREGANO,TARATA,ASOCIACION DE AGRICULTORES MULTIPLES VIRGEN LURDES TARATA,OREGANO,0,TACNA,9900,0,1800,11044889,TARUCACHI,,
FRUTAS,URUBAMBA,ASOCIACION DE PRODUCTORES FRUTICOLAS DEL DISTRITO DE YUCAY,NECTAR MIX,200,CUSCO,0,1600,0,11067185,YUCAY,,
FRUTAS,URUBAMBA,ASOCIACION DE PRODUCTORES FRUTICOLAS DEL DISTRITO DE YUCAY,AGUAYMANTO,3000,CUSCO,300,6000,200,11067185,YUCAY,,
FRUTAS,URUBAMBA,ASOCIACION DE PRODUCTORES FRUTICOLAS DEL DISTRITO DE YUCAY,MERMELADA DE AGUAYMANTO,3000,CUSCO,0,18000,0,11067185,YUCAY,,
OREGANO,CANDARAVE,ASOCIACION DE PRODUCTORES OREGANEROS CANDARAVE APOC,OREGANO,1800,TACNA,19200,9900,3200,11068716,HUANUARA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES PECUARIOS DE CRIANZA DE ALPACAS DEL SECTOR ALTURA PARCIALIDAD SULLCA HUATA,ALPACAS HEMBRAS ADULTOS,480,PUNO,44800,72000,320,11068791,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES PECUARIOS DE CRIANZA DE ALPACAS DEL SECTOR ALTURA PARCIALIDAD SULLCA HUATA,ALPACAS MACHOS ADULTOS,210,PUNO,30600,27300,180,11068791,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES PECUARIOS DE CRIANZA DE ALPACAS DEL SECTOR ALTURA PARCIALIDAD SULLCA HUATA,FIBRA DE ALPACA BLANCO,640,PUNO,1440,7680,240,11068791,ANTAUTA,,
ALPACAS,MELGAR,ASOCIACION DE PRODUCTORES PECUARIOS DE CRIANZA DE ALPACAS DEL SECTOR ALTURA PARCIALIDAD SULLCA HUATA,FIBRA DE ALPACA COLOR,240,PUNO,0,3720,0,11068791,ANTAUTA,,
OREGANO,CANDARAVE,ASOCIACION DE PRODUCTORES MULTIPLES VISION AL FUTURO YARABAMBA,OREGANO,1000,TACNA,5600,7000,800,11071751,CAMILACA,,
OREGANO,CAYLLOMA,ASOCIACION DE PRODUCTORES AGRICOLAS DE OREGANO SAN ISIDRO - HUAMBO   APOSI - HUAMBO,0REGANO SECO,1.95,AREQUIPA,7500,11700,1.5,11078502,HUAMBO,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION DEL FESTIVAL GASTRONOMICO VIRGEN NATIVIDAD DE HUASAO,CHIRIUCHO,2880,CUSCO,0,57600,0,11085490,OROPESA,,
