sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
SERVICIOS,PUNO,ASOCIACION DE TECNICOS AGROPECUARIOS KAPAC TTIKA - CAPACHICA,SERVICO DE ASISTENCIA TECNICA,1000,PUNO,0,3000,0,11110309,CAPACHICA,,
EXTRACCION DE SAL Y DERIVADOS,AZANGARO,ASOCIACION PROCESADORES DE LA SAL YODADA EXTRASAL APSYE,SAL EN GRANO,91000,PUNO,0,30960,0,11111185,SAN JUAN DE SALINAS,,
EXTRACCION DE SAL Y DERIVADOS,AZANGARO,ASOCIACION PROCESADORES DE LA SAL YODADA EXTRASAL APSYE,SAL PROCESADA,110000,PUNO,0,88000,0,11111185,SAN JUAN DE SALINAS,,
OVEJAS,AZANGARO,ASOCIACION DE CRIANZA DE OVINOS SANTA FE DE HUAYLLANI SAN JUAN DE SALINAS ASCROSAHUA SAN JUAN DE SALINAS,CORDEROS/OVINOS,365,PUNO,3000,190150,10,11111367,SAN JUAN DE SALINAS,,
OVEJAS,PARURO,"ASOCIACION DE PRODUCTORES AGROPECUARIOS, ARTESANAL - PROVIAS RELAMPAGOS DE PUMA WASI",OVINOS EN PIE,120,CUSCO,9600,21600,80,11111784,COLCHA,,
ALPACAS,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y ARTESANOS RURAL IRUHUATA I,ALPACAS MACHOS,92,PUNO,4000,23000,20,11112335,POTONI,,
ALPACAS,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y ARTESANOS RURAL IRUHUATA I,ALPACAS HEMBRAS,60,PUNO,3000,10200,20,11112335,POTONI,,
ALPACAS,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y ARTESANOS RURAL IRUHUATA I,FIBRA DE ALPACA,130,PUNO,2030,975,290,11112335,POTONI,,
OVEJAS,YUNGUYO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DEL JARDIN CULTURAL - UNICACHI,OVIMOS ENGORDADOS,435,PUNO,0,87000,0,11113446,UNICACHI,,
AVES DE CORRAL,YUNGUYO,ASOCIACION DE PRODUCTORES AGROPECUARIOS SEÑOR DE LOS MILAGROS DE LA ISLA ISCAYA - UNICACHI,GALLINAS,515,PUNO,0,12875,0,11113447,UNICACHI,,
TRUCHAS,YUNGUYO,ASOCIACION DE PRODUCTORES  AGROPECUARIOS Y TRUCHICULTORES LOS EMPRENDEDORES DE PAJANA-MOHOCACHI-OLLARAYA,TRUCHAS ADULTOS,3000,PUNO,20000,30000,2000,11113460,OLLARAYA,,
FRUTAS,PARURO,ASOCIACION DE PRODUCTORES AGROPECUARIO ARTESANAL VALLE SAN FRANCISCO,"","",CUSCO,"","","",11113766,COLCHA,,
VERDURAS,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS DE QUEQUEÑA - AREQUIPA,PRODUCTOS EN CAMPO,4,AREQUIPA,1500,1500,2,11116628,QUEQUEÑA,,
VERDURAS,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS DE QUEQUEÑA - AREQUIPA,PROD CON VALOR AGREGADO,272,AREQUIPA,0,4.32,0,11116628,QUEQUEÑA,,
PLANTAS AROMATICAS Y MEDICINALES,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,ACELGA,240,AREQUIPA,0.6,0.7,200,11116744,YARABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,LECHUGA,80,AREQUIPA,0.5,1.2,64,11116744,YARABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,OREGANO,480,AREQUIPA,6.3,6.5,460,11116744,YARABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS SAN ANTONIO DE YARABAMBA,TOMILLO,350,AREQUIPA,8.3,8.5,350,11116744,YARABAMBA,,
TRUCHAS,YUNGUYO,ASOCIACION DE PRODUCTORES AGROPECUARIOS ACUICULTORES Y ARTESANALES SANTA ROSA DE PAHAMAYA - OLLARAYA,TRUCHAS ADULTOS,10600,PUNO,20000,116600,2000,11116863,OLLARAYA,,
MIEL DE ABEJA,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES TRES CRUCES DE CHALLABAMBA  APAM. TRES CRUCES,MIEL DE ABEJA,1800,CUSCO,1500,21600,250,11120962,CHALLABAMBA,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION DE CRIADORES DE GALLINA HUALLPA TTICARICK,GALLINA VIVA EN LA PRIMERA CAMPAÑA,300,CUSCO,0,11550,0,11121067,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION DE CRIADORES DE GALLINA HUALLPA TTICARICK,GALLINA CARCASA,150,CUSCO,0,5775,0,11121067,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION SUMAC HUALLPA,GASTRONOMIA,200,CUSCO,0,3000,0,11121233,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION SUMAC HUALLPA,GALLINAS VIVAS,700,CUSCO,0,36000,0,11121233,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION SUMAC HUALLPA,GALLINAS CARCASA,400,CUSCO,0,18000,0,11121233,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION SUMAC HUALLPA,GALLINAS VIVAS,700,CUSCO,0,28000,0,11121233,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION SUMAC HUALLPA,GALLINAS CARCASA,400,CUSCO,0,18000,0,11121233,LUCRE,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION GASTRONOMICA EL PALADAR DEL MARQUEZ,PACHAMANCA A LA OLLA,2000,CUSCO,1500,30000,100,11121270,OROPESA,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION GASTRONOMICA EL PALADAR DEL MARQUEZ,CUY AL HORNO,3000,CUSCO,10000,60000,500,11121270,OROPESA,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION GASTRONOMICA EL PALADAR DEL MARQUEZ,CHICHARRON,2000,CUSCO,500,24000,50,11121270,OROPESA,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION GASTRONOMICA EL PALADAR DEL MARQUEZ,CHAIRO,3000,CUSCO,480,1800,80,11121270,OROPESA,,
ALPACAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES ANDINO ALPAQUERO,ALPACAS MACHOS,110,CUSCO,7500,33000,30,11121335,PAUCARTAMBO,,
ALPACAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES ANDINO ALPAQUERO,ALPACAS HEMBRAS,150,CUSCO,3000,52500,100,11121335,PAUCARTAMBO,,
ALPACAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SUMAC FALCHAYOC DE LA COMUNIDAD CAMPESINA DE K`ALLAKANCHA,ALPACAS,1390,CUSCO,7500,347500,50,11121336,PAUCARTAMBO,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,PLANTULAS DE OREGANO,5000,CUSCO,45,7500,30,11121855,CHALLABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,PLANTULAS DE HIERBA BUENA,0,CUSCO,70,0,70,11121855,CHALLABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,PLANTULAS DE CLAVEL,5000,CUSCO,0,10000,0,11121855,CHALLABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,PLANTULAS DE PENSAMIENTO,1200,CUSCO,0,1200,0,11121855,CHALLABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,ESQUEJES DE ROMERO,520,CUSCO,0,1040,0,11121855,CHALLABAMBA,,
PLANTAS AROMATICAS Y MEDICINALES,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES SAN MARCOS DE KCURPO   APAM-KCURPO,PLANTULAS DE RUDA,500,CUSCO,0,1000,0,11121855,CHALLABAMBA,,
CAFE,PAUCARTAMBO,COOPERATIVA AGRARIA CAFETALERA RIO MAPACHO LTDA,CAFE,9950,CUSCO,15750,59700,3150,11123467,CHALLABAMBA,,
CAFE,PAUCARTAMBO,COOPERATIVA AGRARIA CAFETALERA RIO MAPACHO LTDA,CAFE,9700,CUSCO,15750,58200,3150,11123467,CHALLABAMBA,,
CAFE,PAUCARTAMBO,COOPERATIVA AGRARIA CAFETALERA RIO MAPACHO LTDA,CAFE,9200,CUSCO,13750,55200,2750,11123467,CHALLABAMBA,,
CAFE,PAUCARTAMBO,COOPERATIVA AGRARIA CAFETALERA RIO MAPACHO LTDA,CAFE,12450,CUSCO,11250,74700,2250,11123467,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES MANZANARES,PLANTONES DE MANZANO,6000,CUSCO,200,30000,100,11123826,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES MANZANARES,PLANTONES DE DURAZNO,5000,CUSCO,0,25000,0,11123826,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES MANZANARES,PLANTONES DE PINO,5000,CUSCO,100,10000,200,11123826,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES AÑAWI TTIKARICHIY - APAM.F. AÑAWI,PLANTONES DE MANZANO,6000,CUSCO,360,30000,180,11123835,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES AÑAWI TTIKARICHIY - APAM.F. AÑAWI,PLANTONES DE DURAZNO,5000,CUSCO,300,25000,150,11123835,PAUCARTAMBO,,
OVEJAS,CUSCO,ASOCIACION CRIADORES DE OVINOS FLOR DE MOLLEHUAMAN DE LA COMUNIDAD CAMPESINA DE CUSIBAMBA,CARNE DE CORDERO,312,CUSCO,1872,3744,156,11123942,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,CAPCHI,450,CUSCO,0,2250,0,11123948,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,PAPA CON CUY,780,CUSCO,0,23400,0,11123948,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,PAPA MACTILLO,30,CUSCO,18000,54000,13,11123948,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,PAPA HUAMANTANGA,20,CUSCO,7500,30000,5,11123948,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,PAPA PERUANITA,30,CUSCO,20000,60000,10,11123948,CCORCA,,
TUBERCULOS ANDINOS,CUSCO,ASOCIACION AGROPECUARIOS ECOLOGICOS PANTI TTIKA TAMBORPUJIO CCORCA - CUSCO,HUATIA,400,CUSCO,0,2000,0,11123948,CCORCA,,
SERVICIOS,PAUCARTAMBO,ASOCIACION DE PRESTADORES DE SERVICIOS DE MEJORAMIENTO GENETICO DE ANIMALES TRES CRUCES DE ORO,SERVICIO DE INSEMINACION ARTIFICIAL,10,CUSCO,0,700,0,11124274,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES     DE   CHIMUCALLE  APAM.F. CHIMUCALLE,PLANTONES DE MANZANO INJERTO,6000,CUSCO,200,30000,100,11124387,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES     DE   CHIMUCALLE  APAM.F. CHIMUCALLE,PLANTONES DE DURAZNO INJERTO,5000,CUSCO,200,25000,100,11124387,PAUCARTAMBO,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES FRUTICULTORES     DE   CHIMUCALLE  APAM.F. CHIMUCALLE,PLANTONES DE PINO,5000,CUSCO,0,10000,0,11124387,PAUCARTAMBO,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION DE PRODUCTORES MULTIPLES Y SERVICIOS SEÑOR DE CCOLCCA,MENU,3800,CUSCO,63,19000,18,11125083,PAUCARTAMBO,,
OVEJAS,PARURO,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y ARTESANAL APU CHOQQUECHAMPI,OVINOS PARA SACA,18,CUSCO,4500,4500,50,11126322,COLCHA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,SEMILLA DE DURAZNO,3,CUSCO,0,600,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,SEMILLA DE MANZANA,6,CUSCO,0,2400,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,SEMILLA DE PINO,6,CUSCO,0,1200,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,PLANTONES DE PINO,4000,CUSCO,0,2000,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,FRUTAS DE MANZANA,5000,CUSCO,3000,10000,2000,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,FRUTAS DURAZNO,5000,CUSCO,3000,25000,1000,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,PLANTONES INJERTOS DE MANZANA,5000,CUSCO,0,30000,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,PLANTONES INJERTOS DE DURAZNO,750,CUSCO,0,3750,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,SEMILLA DE ROCOTO,4,CUSCO,0,400,0,11126460,CHALLABAMBA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PROCESADORES Y SEMILLEROS DE FRUTALES Y FORESTALES DE HUACANCCA,PLANTON DE ROCOTO,500,CUSCO,0,2500,0,11126460,CHALLABAMBA,,
TRUCHAS,CAYLLOMA,ASOCIACION DE CRIADORES DE TRUCHA CHUCA FISH,TRUCHAS,15000,AREQUIPA,45000,150000,5000,11126932,SAN ANTONIO DE CHUCA,,
SERVICIOS,PAUCARTAMBO,ASOCIACION DE INSEMINADORES LOS MAGNIFICOS DE CHALLABAMBA,INSEMINACION,133,CUSCO,0,10640,0,11127082,CHALLABAMBA,,
TURISMO,PAUCARTAMBO,ASOCIACION PARA LA CONSERVACION DE RECURSOS AMAZONICOS Y REFUGIO DE VIDA SILVESTRE,COMIDAS TIPICAS,900,CUSCO,600,7200,120,11127327,KOSÑIPATA,,
TURISMO,PAUCARTAMBO,ASOCIACION PARA LA CONSERVACION DE RECURSOS AMAZONICOS Y REFUGIO DE VIDA SILVESTRE,RUTAS DE TURISMO,100,CUSCO,0,15000,0,11127327,KOSÑIPATA,,
TRUCHAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PISCIGRANJA ECOPEZ KCOSÑIPATA,PEZ TILAPIA,200,CUSCO,900,3000,60,11127328,KOSÑIPATA,,
TRUCHAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PISCIGRANJA ECOPEZ KCOSÑIPATA,PEZ PACO,11500,CUSCO,2400,172500,160,11127328,KOSÑIPATA,,
TRUCHAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PISCIGRANJA ECOPEZ KCOSÑIPATA,PEZ PACO,3312,CUSCO,1200,49680,80,11127328,KOSÑIPATA,,
TRUCHAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS PISCIGRANJA ECOPEZ KCOSÑIPATA,PEZ TILAPIA,264,CUSCO,2100,3960,140,11127328,KOSÑIPATA,,
MIEL DE ABEJA,PAUCARTAMBO,ASOCIACION DE APICULTORES DEL VALLE DE KOSÑIPATA,MIEL DE ABEJA,700,CUSCO,4860,8400,405,11127346,KOSÑIPATA,,
AVES DE CORRAL,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DEL SECTOR ALTO LIBERTAD,POLLOS PARRILLEROS,660,CUSCO,0,32100,0,11127731,KOSÑIPATA,,
AVES DE CORRAL,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DEL SECTOR ALTO LIBERTAD,POLLOS CARIOCOS,660,CUSCO,0,19800,0,11127731,KOSÑIPATA,,
AVES DE CORRAL,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DEL SECTOR ALTO LIBERTAD,GALLINAS,0,CUSCO,900,0,30,11127731,KOSÑIPATA,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION DE  JOVENES PRODUCTORES AGROPECUARIOS DE LUCRE,GALLINAS VIVAS,600,CUSCO,0,24000,0,11127778,LUCRE,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION DE  JOVENES PRODUCTORES AGROPECUARIOS DE LUCRE,GALLINAS CARCASA (PELADA),300,CUSCO,0,13200,0,11127778,LUCRE,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE AGRICULTORES IBERIA LIBERTAD,PIÑA REAL,131000,CUSCO,10000,393000,5000,11127806,KOSÑIPATA,,
FRUTAS,PAUCARTAMBO,ASOCIACION DE AGRICULTORES IBERIA LIBERTAD,PIÑA REAL,78000,CUSCO,24000,243000,12000,11127806,KOSÑIPATA,,
NECTARES,PARURO,ASOCIACION DE FRUCTICULTORES DE LA COMUNIDAD DE CCAPA- PILLPINTO,FRUGOS DE TUNA,20,CUSCO,0,480,0,11128023,PILLPINTO,,
NECTARES,PARURO,ASOCIACION DE FRUCTICULTORES DE LA COMUNIDAD DE CCAPA- PILLPINTO,MERMELADA DE TUNA,50,CUSCO,0,400,0,11128023,PILLPINTO,,
AVES DE CORRAL,QUISPICANCHI,ASOCIACION DE PRODUCTORES AGROPECUARIOS VIRGEN ASUNTA- OROPESA,GALLINAS,500,CUSCO,20000,20000,100,11128029,OROPESA,,
AVES DE CORRAL,PARURO,ASOCIACION DE CRIADORES DE POLLOS VIRGEN DEL CARMEN DE LA COMUNIDAD DE PILLPINTO,GALLINAS,500,CUSCO,750,17500,30,11128063,PILLPINTO,,
AVES DE CORRAL,PARURO,ASOCIACION DE MUJERES VIRGEN ROSARIO TAUCABAMBA,GALLINAS,1000,CUSCO,7000,45000,200,11128064,PILLPINTO,,
AVES DE CORRAL,URUBAMBA,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES VIRGEN MARIA DE LA O DE YUCAY,GALLINAS,1000,CUSCO,1050,40000,30,11128099,YUCAY,,
FRUTAS,URUBAMBA,ASOCIACION DE PRODUCTORES AGROPECUARIOS SUMAC FRUTILLA DE YUCAY,FRUTILLA,346,CUSCO,2240,6920,320,11128208,YUCAY,,
FRUTAS,URUBAMBA,ASOCIACION DE PRODUCTORES AGROPECUARIOS SUMAC FRUTILLA DE YUCAY,PLANTULAS DE FRUTILLA,91,CUSCO,0,227.5,0,11128208,YUCAY,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,ESCRITORIO RECTO CON PANELES,17,CUSCO,0,11900,0,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,ESTANTES RECTO CON PANELES,12,CUSCO,0,9120,0,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,MESA DEL CENTRO,16,CUSCO,0,3360,0,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,ESCRITORIO DE MELAMINA,16,CUSCO,0,6240,0,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,MODULO DE COMPUTO DE MELAMINA,23,CUSCO,0,3910,0,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,MESA,0,CUSCO,400,0,10,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,SILLAS,0,CUSCO,800,0,20,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,BANCAS,0,CUSCO,700,0,10,11128483,PAUCARTAMBO,,
MUEBLES DE MADERA,PAUCARTAMBO,ASOCIACION DE CARPINTEROS SAN JOSE DE LA PROVINCIA DE PAUCARTAMBO,COMODA INFANTIL,11,CUSCO,0,4950,0,11128483,PAUCARTAMBO,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION  DE SEÑORAS VIRGEN DEL ROSARIO  PAUCARTAMBO,EXTRAS - ESPAGUETI A LA BOLOGNESA,50,CUSCO,0,400,0,11128525,PAUCARTAMBO,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION  DE SEÑORAS VIRGEN DEL ROSARIO  PAUCARTAMBO,MENUS,1200,CUSCO,367,4800,105,11128525,PAUCARTAMBO,,
GASTRONOMIA,PAUCARTAMBO,ASOCIACION  DE SEÑORAS VIRGEN DEL ROSARIO  PAUCARTAMBO,EXTRAS - POLLO CON PIÑA,140,CUSCO,0,630,0,11128525,PAUCARTAMBO,,
OVEJAS,PARURO,ASOCIACION  PASTORES DE CONDORSENCA  TAUCABAMBA,OVINOS CRIOLLOS,280,CUSCO,21600,42000,240,11128531,PILLPINTO,,
VERDURAS,CUSCO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE QUISHUARCANCHA,CCAPCHI DE HONGOS,60,CUSCO,0,360,0,11128886,CCORCA,,
VERDURAS,CUSCO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE QUISHUARCANCHA,HONGOS FRESCO,300,CUSCO,0,6000,0,11128886,CCORCA,,
VERDURAS,CUSCO,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE QUISHUARCANCHA,CEVICHE DE HONGOS,80,CUSCO,0,640,0,11128886,CCORCA,,
PLANTAS AROMATICAS Y MEDICINALES,AREQUIPA,ASOCIACION DE PRODUCTORES ECOLOGICOS PARA LA AGROEXPORTACION DE SANTA ANA MOLLEBAYA,PLANTAS AROMATICAS,1500,AREQUIPA,4,5,625,11128920,MOLLEBAYA,,
ALPACAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES APU HUAMANCHUMPI DE KALLAKANCHA,ALPACAS MACHOS,110,CUSCO,7500,33000,30,11128974,PAUCARTAMBO,,
ALPACAS,PAUCARTAMBO,ASOCIACION DE PRODUCTORES AGROPECUARIOS MULTIPLES APU HUAMANCHUMPI DE KALLAKANCHA,ALPACAS HEMBRAS,150,CUSCO,30000,52500,100,11128974,PAUCARTAMBO,,
ABONOS ORGANICOS,URUBAMBA,ASOCIACION AGROPECUARIA ARTESANAL ÑAUPA AJAWASI MISKY FRUTILLA DE YUCAY,HUMUS DE LOMBRIZ,40000,CUSCO,1400,24000,2800,11130146,YUCAY,,
AVES DE CORRAL,URUBAMBA,ASOCIACION AGROPECUARIA ARTESANAL ÑAUPA AJAWASI MISKY FRUTILLA DE YUCAY,POLLOS PARRILLEROS,811,CUSCO,0,32440,0,11130146,YUCAY,,
AVES DE CORRAL,URUBAMBA,ASOCIACION AGROPECUARIA ARTESANAL ÑAUPA AJAWASI MISKY FRUTILLA DE YUCAY,GALLINAS,0,CUSCO,4320,0,144,11130146,YUCAY,,
GASTRONOMIA,PARURO,ASOCIACION DE GASTRONOMIA SABOR HUANIMPAMPIÑITA DE LA COMUNIDAD PACCARITAMBO,TRUCHA AL HORNO,150,CUSCO,0,1500,0,11130690,PACCARITAMBO,,
GASTRONOMIA,PARURO,ASOCIACION DE GASTRONOMIA SABOR HUANIMPAMPIÑITA DE LA COMUNIDAD PACCARITAMBO,PACHAMANCA,200,CUSCO,0,3000,0,11130690,PACCARITAMBO,,
MIEL DE ABEJA,PARURO,ASOCIACION DE  AGRICULTORES Y APICULTORES ECOLOGICOS MAUKALLACTA DE LA COMUNIDAD AYLLU PACHICTE O MOLLEBAMBA,PRODUCCION DE MIEL,150,CUSCO,0,2250,0,11130712,PACCARITAMBO,,
GASTRONOMIA,QUISPICANCHI,ASOCIACION DE GASTRONOMIA MISTURA ANDINA - OROPESA,CHIRIUCHO,500,CUSCO,500,7500,50,11132116,OROPESA,,
